dataset,scale,anchor_keyword,xset_slots,q,candidate_count,positive_count,avg_dec_us_per_candidate,dec_total_ms,dec_hash_pct,dec_xor_pct,dec_list_index_pct,dec_python_overhead_pct,dec_hash_us_per_candidate,dec_xor_us_per_candidate,dec_list_index_us_per_candidate,dec_python_overhead_us_per_candidate,repeat,bench_positive_count,candidate_total_us_per_candidate,candidate_hash_pct,candidate_get_pos_pct,candidate_xor_pct,candidate_list_index_pct,candidate_aes_pct,candidate_python_overhead_pct,candidate_hash_us_per_candidate,candidate_get_pos_us_per_candidate,candidate_xor_us_per_candidate,candidate_list_index_us_per_candidate,candidate_aes_us_per_candidate,candidate_python_overhead_us_per_candidate,candidate_positive_count
数据集名称 例如 enron 或 enwiki,数据集规模编号 对应 data 下的 scale 版本,本次实验固定的第一个查询关键词 w1,固定 XSet 编码后 XOR Filter 的槽位数 可视为固定 |XSet| 的规模代理,查询关键词总数，从 2 扫到 10,该 q 下实际参与 dec microbench 的候选 i 数量,profiled dec 中返回 True 的候选数,核心指标 平均每个候选 i 执行一次 dec 的耗时 单位微秒,该 q 下 pure dec 总耗时，单位毫秒,只看 dec 时，PRF 校验耗时占比,只看 dec 时，异或操作耗时占比,只看 dec 时 ct.array[idx] 列表取值耗时占比,只看 dec 时，其余 Python 解释器开销占比,只看 dec 时 每个候选分摊到的哈希耗时 微秒,只看 dec 时 每个候选分摊到的 XOR 耗时 微秒,只看 dec 时 每个候选分摊到的列表取值耗时 微秒,只看 dec 时 每个候选分摊到的其余 Python 开销 微秒,pure dec 基准重复轮数,pure dec 基准所有重复轮次中返回 True 的总次数,完整 candidate 路径下 每个候选总耗时 微秒,完整路径中，哈希/PRF 相关耗时占比,完整路径中，get_pos 计算位置集合耗时占比,完整路径中，异或操作耗时占比,完整路径中，列表取值耗时占比,完整路径中，AES 解密耗时占比,完整路径中，其余 Python 解释器开销占比,完整路径中 每个候选分摊到的哈希耗时 微秒,完整路径中 每个候选分摊到的 get_pos 耗时 微秒,完整路径中 每个候选分摊到的 XOR 耗时 微秒,完整路径中 每个候选分摊到的列表取值耗时 微秒,完整路径中 每个候选分摊到的 AES 耗时 微秒,完整路径中 每个候选分摊到的其余 Python 开销 微秒,完整路径中命中的候选数量
enron,1,gas,20196,2,8,8,3.625,0.145,49.620253164556964,27.088607594936708,5.3164556962025316,17.974683544303797,2.45,1.3375,0.2625,0.8875,5,40,32.9,34.08054711246201,5.015197568389058,5.775075987841945,0.7218844984802432,33.548632218844986,20.858662613981764,11.2125,1.65,1.9,0.2375,11.0375,6.8625,8
enron,1,gas,20196,3,8,8,4.7225,0.1889,36.76190476190476,37.523809523809526,8.380952380952381,17.333333333333332,2.4125,2.4625,0.55,1.1375,5,40,39.475,39.74034198860038,6.30145661811273,8.739708676377454,1.1082963901203293,25.965801139962,18.144395186827104,15.6875,2.4875,3.45,0.4375,10.25,7.1625,8
enron,1,gas,20196,4,8,8,5.6975,0.2279,35.76072821846554,37.45123537061119,6.7620286085825745,20.0260078023407,3.4375,3.6,0.65,1.925,5,40,50.6375,42.23648481856332,6.6897062453715135,10.170328313996544,1.456430510984942,22.833868180696125,16.613181930387558,21.3875,3.3875,5.15,0.7375,11.5625,8.4125,8
enron,1,gas,20196,5,8,8,12.875,0.515,22.58446947243628,51.80794309425015,6.994665085951393,18.612922347362183,4.7625,10.925,1.475,3.925,5,40,113.425,41.183601498787745,7.857615164205422,10.932334141503196,1.730218205862905,23.198148556314745,15.098082433325986,46.7125,8.9125,12.4,1.9625,26.3125,17.125,8
enron,1,gas,20196,6,8,8,9.355,0.3742,22.69372693726937,46.86346863468635,8.948339483394834,21.494464944649447,3.075,6.35,1.2125,2.9125,5,40,81.5625,44.45977011494253,7.984674329501916,11.218390804597702,1.6245210727969348,19.78544061302682,14.9272030651341,36.2625,6.5125,9.15,1.325,16.1375,12.175,8
enron,1,gas,20196,7,8,8,16.8875,0.6755,18.81950384944397,46.877673224978615,11.377245508982035,22.92557741659538,2.75,6.85,1.6625,3.35,5,40,111.725,41.77668382188409,7.842917878720072,10.259565898411278,2.0586260908480645,21.436562989483107,16.62564332065339,46.675,8.7625,11.4625,2.3,23.95,18.575,8
enron,1,gas,20196,8,8,8,12.7475,0.5099,19.335142469470828,48.77883310719132,9.226594301221168,22.65943012211669,3.5625,8.9875,1.7,4.175,5,40,92.4,47.118506493506494,8.752705627705629,12.31060606060606,1.7586580086580086,16.43668831168831,13.622835497835498,43.5375,8.0875,11.375,1.625,15.1875,12.5875,8
enron,1,gas,20196,9,7,7,11.714285714285714,0.41,14.874696847210995,52.54648342764754,8.811641067097817,23.767178658043655,2.6285714285714286,9.285714285714286,1.5571428571428572,4.2,5,35,99.75714285714285,48.41758556494344,8.620936560217672,14.836030359444365,1.7614205928683946,13.07460976657597,13.289417155950165,48.3,8.6,14.8,1.7571428571428571,13.042857142857143,13.257142857142856,7
enron,1,gas,20196,10,6,6,12.183333333333334,0.3655,13.554987212276215,53.452685421994886,9.121909633418586,23.870417732310315,2.65,10.45,1.7833333333333332,4.666666666666667,5,30,113.95,51.44069036126956,8.702647359953195,12.958900102384087,1.9306713470820536,12.754131929208718,12.212958900102384,58.61666666666667,9.916666666666666,14.766666666666666,2.2,14.533333333333333,13.916666666666666,6
